rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1597440,3.2979355216026307,6.389961728,18.35452651977539,93598650.1411942
16,32,3194880,4.450752687454224,5.230548992,17.020605087280273,24657830.7941701
64,128,12779520,3.6728902022043863,7.709369856,14.75779914855957,2565846.87698405
