rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,2293760,3.465872617562612,6.997220864,1.6679894924163818,5.3014983726129286
16,32,4587520,4.233387589454651,6.231619072,1.6533915996551514,5.224669799861482
64,128,18350080,3.5424097657203673,7.974514176,1.654783010482788,5.231944521881659
