rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,4.032813926537831,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.5364875594774885,6.617750016,1.5160834789276123,4.554353000077306
64,128,14745600,3.957609808444977,7.998511616,1.4768110513687134,4.378959115873907
